attractionName,reviewerName,reviewTitle,ratings,reviewDate,reviewText,reviewerProfilePicURL,reviewURL,compound_score,sentiment_category,wordCount,usefulness,usefulness,usefulness,No. of Useful,,,
Cloud Forest,Alnobbi,perfect harmony of impressive architecture and wild tropical nature,50,22-Mar-20,"For me, the Cloud Forest and the Flower Dome are two of the really outstanding sights of Singapore!!!",https://media-cdn.tripadvisor.com/media/photo-l/1b/30/ef/46/alnobbi.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r751597938-Cloud_Forest-Singapore.html,0.7326,Positive,18,not useful,useful,not useful,1,,,
Cloud Forest,Randikafer,Beautiful plants with amazing architecture,50,17-Mar-20,A very unique place with lot of plants and flowers. A must visit place in singapore.Very cool place,https://media-cdn.tripadvisor.com/media/photo-l/1b/2e/5b/82/caption.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r751172240-Cloud_Forest-Singapore.html,0.3182,Positive,18,useful,not useful,not useful,1,,,
Cloud Forest,TraceyR1584,Out of this world,50,29-Feb-20,Don't miss this. What a beautiful place. Highly recommend visiting in the evening when the misters are activated.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400781-r748256532-Cloud_Forest-Singapore.html,0.7985,Positive,18,useful,not useful,not useful,1,,,
Flower Dome,colin u,Great place to cool down in the afternoon.,40,16-Feb-20,Great place to cool down in the afternoon. Lots of interesting plants and flowers in a magnificent building.,https://media-cdn.tripadvisor.com/media/photo-l/04/77/ed/2d/colin-cameron1.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r745435150-Flower_Dome-Singapore.html,0.9186,Positive,18,useful,not useful,not useful,1,,,
Flower Dome,AJ S,Wow!,40,22-Dec-19,It is a must see in Singapore! That's it! Beautiful and amazing! Never seen something like that before.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/73/default-avatar-2020-13.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4400784-r734029450-Flower_Dome-Singapore.html,0.8159,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,Travelsri119,woow! heaven,50,26-Aug-20,"This is a garden of haven must nee to visit, awesome place best looking sencemust need to visit again",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/e6/default-avatar-2020-45.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r767088644-Gardens_by_the_Bay-Singapore.html,0.8519,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,EmmaIndia123,Great Trip,50,16-Jul-20,"Lovely flower and weather friendly. Highly recommend for every one in general, specially for people who love botany",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/32/default-avatar-2020-12.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r760249389-Gardens_by_the_Bay-Singapore.html,0.9324,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,Jeordie84,Just don't visit during the day!,30,10-Jan-19,"Odd, Tacky, novelty additions throughout, wouldn't visit again and still not sure what to make of it.",https://media-cdn.tripadvisor.com/media/photo-l/0f/c4/29/de/jeordie84.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r644848576-Gardens_by_the_Bay-Singapore.html,-0.5043,Negative,17,useful,not useful,not useful,1,,,
Gardens by the Bay,Gro L,Must visit,40,12-Dec-19,Must visit when in Singapore. The supertrees are so cool. Really lovely at night with all the lights.,https://media-cdn.tripadvisor.com/media/photo-l/07/5c/aa/19/articwoman.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r732075465-Gardens_by_the_Bay-Singapore.html,0.8099,Positive,18,not useful,useful,not useful,1,,,
ArtScience Museum at Marina Bay Sands,assiniboine,Small museum,30,11-Oct-16,Saw it all in two hours. Nothing spectacular. Visited it as part of the visit to Marina Bay Sands area.,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/32/default-avatar-2020-12.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2138895-r495457279-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html,0,Neutral,20,not useful,not useful,not useful,0,,,
Gardens by the Bay,Rainynurse,Gardens By the Bay,40,28-Oct-19,Nice place with beautiful view. Travelling to Gardens by the Bay is more convenient by MRT and buses.,https://media-cdn.tripadvisor.com/media/photo-l/19/e3/1f/8e/rainynurse.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r721893879-Gardens_by_the_Bay-Singapore.html,0.7717,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,hollandhanneke,Nice to cool down,30,21-Jul-19,"Nice and cool inside, we liked the cloud forest best. The flower dome was less interesting for teenagers.",https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/eb/default-avatar-2020-27.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r691299895-Gardens_by_the_Bay-Singapore.html,0.9261,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,sylrus,Overrated,30,19-Jul-18,"Decent views, it's free. Near marina bay sands. Big place, you need to pay to enter specific area...",https://media-cdn.tripadvisor.com/media/photo-o/03/75/33/1e/facebook-avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r597503672-Gardens_by_the_Bay-Singapore.html,0.4404,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,Jacqueline B,Manmade attraction that delights the visual senses.,30,10-Jul-18,It's a nice stop for a one-time experience (day/night) but especially at night for the musical lights show.,https://media-cdn.tripadvisor.com/media/photo-l/04/bd/b6/91/avatar.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r594704331-Gardens_by_the_Bay-Singapore.html,0.0772,Positive,18,useful,not useful,not useful,1,,,
Gardens by the Bay,Aussiecruzer,Interesting!,30,23-Aug-16,"Visited briefly but unfortunately it was raining so could not enjoy fully .Lovely flowers, well set out.",https://media-cdn.tripadvisor.com/media/photo-l/06/e8/fc/43/aussiecruzer.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r409223747-Gardens_by_the_Bay-Singapore.html,-0.8528,Negative,17,useful,not useful,not useful,1,,,
Gardens by the Bay,Navigate660842,Gardens by the bay,30,9-Jul-17,This is a beautiful place.I recommend to come here at afternoon.The place is very big.Don't forget your water,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ed/00/default-avatar-2020-4.jpg,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2149128-r499772608-Gardens_by_the_Bay-Singapore.html,0.8097,Positive,18,useful,not useful,not useful,1,,,
